commit;number;title
16983de4f2a99a9ebdb0b670940dc95232797b88;242;Remove hash-dependent example in AssocOp._matches_commutative docstring.
8d8189ddc8ac350d1e2bf9cc8fe7ff1954dde0f1;396;Fix a failing solvers test in 64-bit
8d8189ddc8ac350d1e2bf9cc8fe7ff1954dde0f1;396;Fix a failing solvers test in 64-bit
9feb70958207b687be0528e4143cb4005981e40f;425;Fixed test_integers_cache for multiple test runs (#1946)
4823441189972b8dbc20af5cb037bddbb2de9c09;612;Pretty numbers
4823441189972b8dbc20af5cb037bddbb2de9c09;612;Pretty numbers
4823441189972b8dbc20af5cb037bddbb2de9c09;612;Pretty numbers
4823441189972b8dbc20af5cb037bddbb2de9c09;612;Pretty numbers
4823441189972b8dbc20af5cb037bddbb2de9c09;612;Pretty numbers
4823441189972b8dbc20af5cb037bddbb2de9c09;612;Pretty numbers
020f69db80425c6971108c2bf2f05c94538973aa;876;Improved doctest coverage for combinatorics
47a070a868faea620f0d033b7886abe352a08678;933;See Also Combinatorics
32e0fbed3aa392879094f8974555efe76b8a8d7f;8545b50eab75c5d9;solve(r - sqrt(r**2) < 0) gives False when r = 1 - x
32e0fbed3aa392879094f8974555efe76b8a8d7f;9b8609f18f2e1522;Series cleanups
af5b19a53567bb2dcf927d657ad4179af9eed157;1028;2105
ad13be5c496089c4815c5416f3fc7f2da6b8bbdb;1974;Determinant
3423a6b01501f84d667f286bae70eaf05740eaff;1974;Determinant
02fcd1317451e2546a58ca724ecb20b26e73592d;1974;Determinant
aaf75e386cdebe258e09f3e2d1954acecdd17792;276;Transfer methods from Basic to Expr.
6eec9d669acefe31880c0bcbf5814e00a900f228;286;div() will automatically convert the ground domain to a field
4325aea61d9bf2cf6eb651c78ef9b8b9cbb32e7b;318;Finalized implementation of Gosper's algorithm (#2386)
4325aea61d9bf2cf6eb651c78ef9b8b9cbb32e7b;2386;1318: Interval arithmetic support - First bits
c0aab997384e78aaa45b263c97d00c9fb21ab67d;359;Allow subclasses of Expr to have their own implementation of arithmetic operators
3a43310f1957a21a6f095fe2801cc05b5268a2c7;374;_op_priority
3a43310f1957a21a6f095fe2801cc05b5268a2c7;359;Allow subclasses of Expr to have their own implementation of arithmetic operators
a69e964dffe6617c8a116e05dc22e93ae90b3355;392;Use tokenize-based parser in sympify() (#871, #976)
a69e964dffe6617c8a116e05dc22e93ae90b3355;871;mind commutativity in optimized Add.flatten
a69e964dffe6617c8a116e05dc22e93ae90b3355;976;[GCI] Test examples when running setup.py test
2e2069e28b01efd137157ac39d11a25bd0ba5569;353;1694 - solver upgrade
c0f1d2416ac748476046a3cc08e27f82a26b9f11;2441;Clarify type errors in physics.mechanics.
c0f1d2416ac748476046a3cc08e27f82a26b9f11;2441;Clarify type errors in physics.mechanics.
a2f1da8950ac01c0078e629cad58aaa7043fc141;440;Update mpmath to 0.17
df7a135a4ff7eca361ebbb07ccbeabf8654a8d80;423;move preprocessing out of _solve
ec23267c72b3e861928a00a8f2fe1b8fe3708b12;466;update of pull #448 with some fixes to change_mul
17b15d38bb9865eb357cebb355acdab1d6e4a2b1;361;Cartesian product set
6f851a3421bb1d30aea69583f035c1cb278c7cb0;402;Added support for gmpy's and mpmath's types to sympify() (#2441)
6f851a3421bb1d30aea69583f035c1cb278c7cb0;2441;Clarify type errors in physics.mechanics.
6f851a3421bb1d30aea69583f035c1cb278c7cb0;402;Added support for gmpy's and mpmath's types to sympify() (#2441)
6f851a3421bb1d30aea69583f035c1cb278c7cb0;2441;Clarify type errors in physics.mechanics.
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
52657848516ce7f4f7119b921d6b8d64131b58d3;511;Update code quality tests
9867cb0eb9c730d05ebccbbeba2def7e1d674f20;328;Factor old-style assumptions
9867cb0eb9c730d05ebccbbeba2def7e1d674f20;328;Factor old-style assumptions
1e94dc93c055174b2164da92ee9a38e9d9246fce;495;Porting, part 3
e6af2d87656a589514d27df3e573d38030cc7333;544;prefilter operations args for cls.identity
e3df5de1f570664229d841ec568c47a34ff4f840;532;Matrix expr
5032133385baf9bb1a8e0284eb374c28f6babd9f;623;Implemented `GroebnerBasis.reduce()`
7400f4ed5b8c8e4c5331952b68994ce42976754f;627;Fixed almost all test failures under PyPy
e4ce356651abe9f1fd67dacb497aecc037980f3b;631;Improved `.has()` and changed the meaning of `Basic.__contains__()`
314e262c93b7a9ac60a373885118cd7dc25530b3;637;Robustified sort_key() and default_sort_key()
b1fcb9e09a64f24ecb68a5a7a95ad528a195853b;582;solver upgrades
9028973d147ec7d3a57e7b67e584a63fd3f125e7;643;Automatically construct missing symbols in isympy
efd99600b2d0acbfd2d176526bc9e74ff3c49f28;620;Simplify code in _solve()
00924d79186ea50cc978cc7a3d5120db056b9d99;735;Fixed following PEP8 in parts of the pyglet plotting module
00924d79186ea50cc978cc7a3d5120db056b9d99;735;Fixed following PEP8 in parts of the pyglet plotting module
00924d79186ea50cc978cc7a3d5120db056b9d99;735;Fixed following PEP8 in parts of the pyglet plotting module
00924d79186ea50cc978cc7a3d5120db056b9d99;735;Fixed following PEP8 in parts of the pyglet plotting module
52e46591b198c040fe89352de3fadc6d4edf2ad4;725;find added to units and examples given in module docstring
